UTC,Temperature[C],Humidity[%],TVOC[ppb],eCO2[ppm],Raw H2,Raw Ethanol,Pressure[hPa],PM1.0,PM2.5,NC0.5,NC1.0,NC2.5,Fire Alarm
1654774151,27.08,46.94,1061.0,553.0,12831,19470,938.944,2.0,2.08,13.77,2.147,0.049,True
1654761709,14.06729210044917,49.61187630134751,6.729210044916878,400.0,12708,19745,939.7966769748878,0.06864605022458439,0.09,0.40729210044916875,0.09459381506737533,0.02086460502245844,False
1654738734,-9.242,53.02,1.0,400.0,13279,20249,939.741,2.19,2.28,15.08,2.351,0.053,True
1654762713,17.39318869548701,50.14577980744229,0.0,400.0,13104,20015,939.704396231829,0.35,0.36853458939033207,2.417069178780664,0.37741383575613274,0.008853458939033209,False
1654903830,37.8,14.93,565.0,842.0,12186,20021,930.898,2.25,2.34,15.52,2.42,0.055,True
1654761828,12.548658140403763,49.98998824731602,37.51925337054612,400.0,12755,19752,939.8420385067411,0.22403733147269406,0.23403733147269407,1.5330687866033972,0.23944106461996348,0.005480746629453881,False
1654769777,20.34,53.81,327.0,400.0,13107,19947,939.355,0.25,0.26,1.75,0.273,0.006,True
1654734837,25.93284075473858,51.49024689752316,14.556873307649314,400.0,13102,19997,939.6879545013539,0.39977250676940274,0.41465876015410413,2.7432938007705205,0.42823838278481313,0.009488625338470138,False
1654749093,11.997,52.35,1151.0,417.0,12875,19436,938.801,1.89,1.97,13.03,2.031,0.046,True
1654765514,22.49,47.23,101.0,400.0,13246,20121,939.615,2.22,2.31,15.29,2.384,0.054,True
1654734270,27.071430399721688,50.00417601669869,7.569600278311505,400.0,13014,19925,939.755,0.30430399721688495,0.31430399721688496,2.1029119916506547,0.32715199860844246,0.0069999999999999,False
1654762629,14.62,55.007912428608215,26.717413263992384,400.0,13070,19944,939.7081130346944,0.3994348265279848,0.41943482652798475,2.766608959167909,0.43143482652798476,0.01,False
1654762021,12.069076792231538,57.00540915968124,4.4473352651006035,400.0,12895,19853,939.7867893410604,0.19447335265100604,0.19671002897650905,1.3169702028355634,0.20593369660905927,0.004223667632550302,False
1654762077,12.299811337889958,56.7413206347703,20.286793652297057,400.0,12923,19862,939.7493433922853,0.2879622675779916,0.3069434013669874,2.0147170068349367,0.3137584943357907,0.0069999999999999,False
1654757078,-18.202,53.55,1436.0,417.0,12969,19371,938.735,1.71,1.78,11.77,1.835,0.0409999999999999,True
1654761916,13.77,55.23,2.0,400.0,12844,19827,939.83,0.37,0.41,2.53,0.422,0.026,False
1654738465,-8.783999999999999,49.45,60.0,400.0,13236,20161,939.679,2.05,2.13,14.11,2.2,0.05,True
1654745172,15.329,47.44,1084.0,612.0,12815,19459,939.065,1.97,2.04,13.54,2.112,0.048,True
1654771281,24.61,50.98,696.0,725.0,12766,19556,939.122,2.41,2.51,16.6,2.589,0.0579999999999999,True
1654753829,10.744000000000002,51.44,1226.0,400.0,12955,19427,938.739,2.08,2.16,14.32,2.233,0.05,True
1654782176,26.72,48.17,1291.0,406.0,12953,19403,938.686,2.41,2.5,16.58,2.5860000000000003,0.0579999999999999,True
